,id,state,gender,target_d,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,rooms_per_neigh,baths_per_neigh,population_per_household
0,44060,FL,M,100.0,1158.437751,392.0,430.0,466.0,520.0,21975.0,11.626153846200001,1.1158798283261802,47.15665236051502,0.9227467811158798
1,96093,IL,M,7.0,537.0,365.0,415.0,410.0,473.0,19387.0,5.666666667,1.1536585365853658,47.28536585365854,1.0121951219512195
2,43333,FL,F,5.0,725.0,301.0,340.0,361.0,436.0,18837.0,4.111111111,1.2077562326869806,52.18005540166205,0.9418282548476454
3,190108,FL,F,5.0,995.0,252.0,280.0,316.0,348.0,17991.0,6.0,1.1012658227848102,56.93354430379747,0.8860759493670886
4,154301,CA,F,10.0,1026.0,459.0,470.0,491.0,496.0,13803.0,11.25,1.010183299389002,28.112016293279023,0.9572301425661914
5,73699,MI,F,15.0,890.0,463.0,474.0,512.0,523.0,9493.0,11.28571429,1.021484375,18.541015625,0.92578125
6,31977,FL,F,28.0,1513.0,521.0,599.0,615.0,702.0,28124.0,18.5,1.1414634146341462,45.730081300813005,0.9739837398373984
7,44336,FL,F,15.0,948.0,330.0,365.0,368.0,411.0,17728.0,15.0,1.1168478260869565,48.17391304347826,0.9918478260869565
8,87259,MT,M,25.0,717.0,302.0,458.0,349.0,432.0,15614.0,9.885714285,1.2378223495702005,44.739255014326645,1.3123209169054442
9,115823,TX,M,15.0,1302.4,593.0,588.0,650.0,650.0,17606.0,6.5,1.0,27.086153846153845,0.9046153846153846
10,95701,IL,M,5.0,1063.0,255.0,260.0,312.0,317.0,14023.0,8.372790698,1.016025641025641,44.94551282051282,0.8333333333333334
11,5172,IL,M,10.0,291.0,136.0,168.0,180.0,212.0,8370.0,10.61111111,1.1777777777777778,46.5,0.9333333333333333
12,152486,CA,M,5.0,1538.0,271.0,317.0,342.0,393.0,15627.0,5.5,1.1491228070175439,45.69298245614035,0.9269005847953217
13,153880,WI,F,5.0,586.2,244.0,341.0,306.0,392.0,12220.0,12.5,1.2810457516339868,39.93464052287582,1.1143790849673203
14,101855,MO,M,10.0,702.0,340.0,385.0,365.0,416.0,15336.0,7.857142857,1.1397260273972603,42.016438356164386,1.0547945205479452
15,62932,IN,M,10.0,439.8,174.0,240.0,201.0,264.0,9704.0,8.0,1.3134328358208955,48.27860696517413,1.1940298507462686
16,125930,TX,F,7.5,715.0,339.0,378.0,371.0,396.0,12617.0,6.0,1.0673854447439353,34.00808625336927,1.0188679245283019
17,173653,HI,F,21.0,2346.0,420.0,446.0,468.0,503.0,14552.0,15.5,1.0747863247863247,31.094017094017094,0.9529914529914529
18,11011,FL,M,20.0,559.0,232.0,270.0,257.0,269.0,10511.0,12.61111111,1.046692607003891,40.8988326848249,1.0505836575875487
19,154245,CA,F,15.0,596.0,164.0,168.0,181.0,190.0,5273.0,16.5,1.0497237569060773,29.132596685082873,0.9281767955801105
20,134773,UT,M,25.0,706.0,362.0,376.0,379.0,394.0,12537.6,15.0,1.0395778364116095,33.08073878627968,0.9920844327176781
21,26271,GA,F,16.0,878.0,310.0,517.0,433.0,588.0,22281.0,10.13333333,1.3579676674364896,51.45727482678984,1.1939953810623556
22,180292,WA,F,10.0,1275.0,405.0,453.0,500.0,545.0,20971.0,6.6,1.09,41.942,0.906
23,10145,CA,F,5.0,2362.0,613.0,632.0,655.0,678.0,21179.0,8.928571429,1.035114503816794,32.33435114503817,0.9648854961832061
24,112632,CT,M,11.0,2531.0,669.0,730.0,696.0,750.0,21094.0,8.272727273,1.0775862068965518,30.307471264367816,1.0488505747126438
25,143253,CA,F,5.0,2089.0,275.0,296.0,322.0,356.0,10484.0,7.125,1.1055900621118013,32.559006211180126,0.9192546583850931
26,189882,ND,F,10.0,832.0,310.0,338.0,348.0,376.0,11972.0,10.0,1.0804597701149425,34.40229885057471,0.9712643678160919
27,119570,TX,M,10.0,1458.0,299.0,354.0,356.0,446.0,19185.0,6.181818182,1.252808988764045,53.890449438202246,0.9943820224719101
28,144021,CA,F,15.0,1590.0,240.0,238.0,262.0,257.0,7559.0,13.5,0.9809160305343512,28.85114503816794,0.9083969465648855
29,93356,IL,F,25.0,613.0,212.0,245.0,294.0,355.0,11792.0,11.83333333,1.2074829931972788,40.10884353741496,0.8333333333333334
30,24711,SC,F,10.0,477.0,256.0,282.0,292.0,316.0,10621.0,5.875,1.082191780821918,36.37328767123287,0.9657534246575342
31,74914,IA,F,6.0,424.0,192.0,256.0,230.0,256.0,9497.0,4.863636364,1.1130434782608696,41.291304347826085,1.1130434782608696
32,6909,CO,M,15.0,383.0,268.0,256.0,359.0,380.0,14045.0,13.82352941,1.0584958217270195,39.12256267409471,0.713091922005571
33,124543,TX,M,18.0,688.0,422.0,466.0,457.0,490.0,16561.0,11.06666667,1.0722100656455142,36.23851203501094,1.0196936542669583
34,190671,CA,F,14.0,2143.0,280.0,353.0,328.0,373.0,12935.0,9.260869565,1.1371951219512195,39.4359756097561,1.076219512195122
35,33356,FL,F,20.0,625.0,246.0,466.0,362.0,536.0,19102.0,14.09090909,1.4806629834254144,52.767955801104975,1.287292817679558
